rank	word	occurrences	verdict	reason	example_ba	parallel_ru	corpus
56	окт	434	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	Башҡорт әҙәбиәте һәм сәнғәте декадалары һәм көндәре Санкт-Петербургта (1964 й. 15— 22 июнендә, 1969 й. 6—10 окт., 2001 й. 3—10 июнендә), Мәскәүҙә (1987 й. 10—12 февр. һәм 1997 й. 19—24 майында); Украина ССР-ында (1970 й. 16—23 окт. һәм 1978 й. 19— 25 майында), Ҡаҙаҡ ССР-ында (1976 й. 15—22 окт.); ТАССР-ҙа (1960 й. 5—13 июнендә һәм 1989 й. 28 майы — 4 июнендә), Яҡут АССР-ында (1973 й. 20—27 июнендә һәм 1978 й. 19—26 июнендә), Сыуашстанда (1975 й. 25—30 майында һәм 2001 й. 15—17 окт.), Ҡарағалпаҡ АССР-ында (1976 й. 12—24 нояб.), Таулы Алтай авт. округында (1983 й. 31 июле — 6 авг.) һ.б., шулай уҡ Ҡурған, Пермь, Силәбе, Һарытау, Ырымбур өлк. һәм башҡорттар тупланып йәшәгән башҡа төбәктәрҙә (1960 й. алып); Истанбул ҡ. (2006 й. 2—5 июнендә) үткәрелә.	Декады и дни башкирской литературы и искусства состоялись в Санкт-Петербурге (15—22 июня 1964, 6—10 окт. 1969, 3—10 июня 2001), Москве (10—12 февр. 1987 и 19—24 мая 1997); Украинск. ССР (16—23 окт. 1970 и 19—25 мая 1978), Казахской ССР (15—22 окт. 1976); ТАССР (5—13 июня 1960 и 28 мая — 4 июня 1989), Якутской АССР (20—27 июня 1973 и 19—26 июня 1978), Чувашии (25—30 мая 1975 и 15—17 окт. 2001), Каракалпакской АССР (12—24 нояб. 1976), Горно-Алтайском авт. округе (31 июля — 6 авг. 1983) и др., а также в Курганской, Оренб., Пермской, Саратовской, Челяб. обл. и других регионах компактного проживания башкир (с 1960); г. Стамбул (2—5 июня 2006).	bashkir encyclopedia
57	дән	425	не отдельное слово / токенизация	фрагмент окончания после числа, кавычек, дефиса или разрыва	Ә миңә теймәй, «Кәйҙерем»дән һалдырып тик йөрөйөм үҙен.	Лишь я могу называть его Торопыжкой, меня он не трогает.	https://t.me/bashkort_translate_bot
58	ком	411	смешанные причины	в корпусе встречается как междометие, сокращение и перенос слова	— Ком, ком!	— Комм, комм!	https://t.me/bashkort_translate_bot
59	төшөүе	395	ложное срабатывание / формула	отглагольное имя на -өү ошибочно получает округлённый N08; нужен N06	Аслан, ошоно иҫеңдән сығарма: сихыр менән шөғөлләнеүеңдең ипкене балаларыбыҙға ғына түгел, хатта тыуасаҡ ейән-ейәнсәрҙәребеҙгә төшөүе ихтимал.	Самое главное, помни: кара за твои занятия колдовством может пасть не только на наших детей, но даже на будущих внуков и правнуков.	https://t.me/bashkort_translate_bot
60	апр	394	ложное срабатывание / формула	нормативная форма в контексте; требуется отдельная проверка правила	Премьераһы 1969 й. 26 апр. БДОБТ-та үтә (Р.С.Янбулатова либреттоһы, дирижёры В.Д.Руттер, реж. Ш.М.Мортазина, ҡуйыусы рәссамы М.Н.Арыҫланов, хормейстеры Л.Х.Исхаҡова, балетм. Л.Е.Бородулин).	Премьера состоялась в БГТОиБ 26 апр. 1969 (либр. Р.С.Янбулатовой, дирижёр В.Д.Руттер, реж. Ш.М.Муртазина, сценограф М.Н.Арсланов, хормейстер Л.Х.Исхакова, балетм. Л.Е.Бородулин).	bashkir encyclopedia
61	див	381	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	1901—02 йй. Ырымбур—Ташкент тимер юлын төҙөүгә булышлыҡ итә, 1904 й. рус-япон һуғышында (1904—05) ҡатнашыу өсөн Ырымбур льготалы казак див. мобилизациялауҙы һәм ҡоралландырыуҙы ойоштора; революция (1905—07) ваҡытында 1905 й. дек. Ырымбурҙа ҡораллы күтәрелеш тоҡаныуға юл ҡуймай. 2-се дәрәжә Изге Анна, 2-се дәрәжә Изге Станислав орден менән бүләкләнгән.	В 1901—02 способствовал стр-ву ж.д. Оренбург—Ташкент, в 1904 организовал мобилизацию и снаряжение Оренб. льготной казачьей див. для участия в русско-японской войне 1904—05; во время революции 1905—07 в дек. 1905 предотвратил вооруж. восстание в Оренбурге. Награждён орденом Святой Анны 2-й ст., Св. Станислава 2-й степени.	bashkir encyclopedia
62	икәүһе	378	ложное срабатывание / формула	для собирательных числительных нет притяжательной формы -әү+һе	Бер Мәүлетҡоловтар ғына ундан ашыу, буғай. Нәҙерғоловтар – бишәү, икәүһе минең бабайымдар: Рәхмәтулла менән Зәйнулла.	Мавлеткуловых там больше десятка, Надергуловых – пятеро, двое из них – мои родные дяди Рахматулла и Зайнулла.	https://t.me/bashkort_translate_bot
63	средстволар	378	ошибка или иноязычная вставка корпуса	русский фрагмент внутри башкирской строки; расширять башкирскую морфологию не надо	Уның билдәләре: күпселек кешеләр һәм средстволар машиналар ҡулланылған сәнәғәткә йәлеп ителгән.	Его признаки: большинство людей и средств заняты в машинной промышленности.	https://t.me/bashkort_translate_bot
64	геол	374	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	Журнал биттәрендә фәнни тикшеренеүҙәр һөҙөмтәләре, геол. фәненең торошо, проблемалары, тенденциялары, Башҡортостан Республикаһында уның үҫеш мөмкинлектәре тураһында мәҡәләләр баҫыла.	На страницах журнала публикуются результаты научн. иссл., статьи о состоянии геол. науки, проблемах, тенденциях и перспективах её развития в РБ.	bashkir encyclopedia
65	реж	364	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	А. Ғәлина), «Патрокл», «Парис менән Елена», «Одиссей өйөнә ҡайта» (М. Мөхлисов, реж.	А. Галина), «Патрокл», «Парис и Елена», «Одиссей едет домой» (М. Мухлисов, реж.	https://t.me/bashkort_translate_bot
66	металдар	363	ложное срабатывание / формула	нет сокращения двойной л: металл+дар → металдар	Ә бындай урындарҙа, әгәр разлом актив булһа, радиоактив элементтар сығыусан, ауыр металдар ҡушылмалары бүленделәре һауаға таралыусан, кеше сәләмәтлегенә зарарлы геофизик һәм электромагнит аномалияларҙың булыуы бик ихтимал.	Ведь в таких местах, если разлом активен, повышается радиоактивность, выделяются соединения тяжелых металлов и весьма возможно наличие вредных для человеческого здоровья геофизических и электромагнитных аномалий.	https://t.me/bashkort_translate_bot
67	нояб	361	ложное срабатывание / формула	нормативная форма в контексте; требуется отдельная проверка правила	Башҡорт әҙәбиәте һәм сәнғәте декадалары һәм көндәре Санкт-Петербургта (1964 й. 15— 22 июнендә, 1969 й. 6—10 окт., 2001 й. 3—10 июнендә), Мәскәүҙә (1987 й. 10—12 февр. һәм 1997 й. 19—24 майында); Украина ССР-ында (1970 й. 16—23 окт. һәм 1978 й. 19— 25 майында), Ҡаҙаҡ ССР-ында (1976 й. 15—22 окт.); ТАССР-ҙа (1960 й. 5—13 июнендә һәм 1989 й. 28 майы — 4 июнендә), Яҡут АССР-ында (1973 й. 20—27 июнендә һәм 1978 й. 19—26 июнендә), Сыуашстанда (1975 й. 25—30 майында һәм 2001 й. 15—17 окт.), Ҡарағалпаҡ АССР-ында (1976 й. 12—24 нояб.), Таулы Алтай авт. округында (1983 й. 31 июле — 6 авг.) һ.б., шулай уҡ Ҡурған, Пермь, Силәбе, Һарытау, Ырымбур өлк. һәм башҡорттар тупланып йәшәгән башҡа төбәктәрҙә (1960 й. алып); Истанбул ҡ. (2006 й. 2—5 июнендә) үткәрелә.	Декады и дни башкирской литературы и искусства состоялись в Санкт-Петербурге (15—22 июня 1964, 6—10 окт. 1969, 3—10 июня 2001), Москве (10—12 февр. 1987 и 19—24 мая 1997); Украинск. ССР (16—23 окт. 1970 и 19—25 мая 1978), Казахской ССР (15—22 окт. 1976); ТАССР (5—13 июня 1960 и 28 мая — 4 июня 1989), Якутской АССР (20—27 июня 1973 и 19—26 июня 1978), Чувашии (25—30 мая 1975 и 15—17 окт. 2001), Каракалпакской АССР (12—24 нояб. 1976), Горно-Алтайском авт. округе (31 июля — 6 авг. 1983) и др., а также в Курганской, Оренб., Пермской, Саратовской, Челяб. обл. и других регионах компактного проживания башкир (с 1960); г. Стамбул (2—5 июня 2006).	bashkir encyclopedia
68	пед	340	ложное срабатывание / формула	нормативная форма в контексте; требуется отдельная проверка правила	Б.м. пед. репертуар ҙур урын алып тора: Ҡасимовтың скрипка өсөн 4 альбомы, В.А.Башенёв, В.Ф.Беляков, В.Г.Морозов, Р.Ғ.Рәхимов, Р.Ғ.Сәғәҙиева, Ф.К.Сәйфуллин, В.П.Суханов, С.М.Тюфяков, Р.Ю.Шәйхетдинов редакцияһында баян өсөн балалар пьесалары йыйынтыҡтары; баян һәм ҡурай, думбыра өсөн (икеһе лә — Б.П.Тевс эшкәртеүендә), ике баян, баян һәм аккордеон, жалейка, ҡумыҙ, урыҫ халыҡ ҡоралдары ансамбле өсөн пьесалар (бөтәһен дә — төҙөүсеһе В.Н.Линник).	Значит. место в Д.м. занимает пед. репертуар: 4 скрипичных альбома Касимова, сборники дет. пьес для баяна под редакцией В.А.Башенёва, В.Ф.Белякова, В.Г.Морозова, Р.Г.Рахимова, Р.Г.Сагадеевой, Ф.К.Сайфуллина, В.П.Суханова, С.М.Тюфякова, Р.Ю.Шайхутдинова; для баяна и курая, для домры (оба – переложения Б.П.Тевса); для двух баянов, для баяна и аккордеона, для жалеек, для кубыза, для ансамбля рус. нар. инструментов (все – сост. В.Н.Линник).	bashkir encyclopedia
69	тороуы	338	ложное срабатывание / формула	отглагольное имя на -оу ошибочно получает N07; нужен N05	Йәнәһе, батша тәхетенең шунса ваҡыт буш тороуы ил мәнфәғәттәренә зыян итә.	Якобы пустующий столько времени царский трон наносит вред интересам страны.	https://t.me/bashkort_translate_bot
70	төҙөүҙе	328	ложное срабатывание / формула	отглагольное имя на -өү ошибочно получает N08; нужен N06	Хөрлөк төҙөүҙе шунан башлау фарыз.	Вот с чего надо начинать строительство свободы.	https://t.me/bashkort_translate_bot
71	килограмға	322	ложное срабатывание / формула	нет сокращения двойной м: килограмм+ға → килограмға	Улар барыһы бергә ана шул килограмға яҡын тарта ине.	Это все как раз потянуло около килограмма.	https://t.me/bashkort_translate_bot
72	ҙең	304	не отдельное слово / токенизация	фрагмент окончания после числа, кавычек, дефиса или разрыва	Ә бына шул «динһеҙҙәр»ҙең берәүһе йәш ҡасҡындың дуҫы һәм юлдашы булып китте.	Так один из «неверных» стал другом и спутником юного беглеца.	https://t.me/bashkort_translate_bot
73	нефтехим	301	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	21 б. башындағы инновацион ҡаҙаныштар юғары театралы азотлау нигеҙендә термик һәм химик-термик эшкәртеү технологияһы (“Автонормаль” ААЙ һәм “Өфө электротехника изделиелары заводы” ФДУП-ы), микроэлектроника һәм телекоммуникациялар (“Полигон” ҒПП ААЙ), хирургик офтальмология (аллоплант) өлкәһендә, газ турбиналы двигателдәр (Өфө моторҙар эшләү производство берекмәһе), төп винты күсәрҙәш схемалы вертолёттар (Күмертау авиация производство предприятиеһы), күбекләнеүсе полистирол (“Газпром нефтехим Салават” ААЙ), нефть һурҙырыу станцияһы резервуар паркының автоматика системаһы (Өфө приборҙар эшләү производство берекмәһе), күгән менән тоташтырылған троллейбус һәм коляскалы инвалидтарға йөрөргә мөмкинлек биргән түбән иҙәнле баҫҡысһыҙ троллейбустар (Башҡортостан троллейбус заводы ААЙ) эшләүҙә һ.б. күҙәтелә.	"Инновац. достижения нач. 21 в. наблюдаются в области технологии термич. и хим.-термической обработки на основе высокотемпературного азотирования (ОАО ""Автонормаль"" и ФГУП ""Уфимский завод электротехнических изделий""), микроэлектроники и телекоммуникации (ОАО НПП ""Полигон""), хирург. офтальмологии (аллоплант), в создании газотурбинных двигателей (УМПО), вертолетов с соосной схемой несущего винта (КумАПП), вспенивающегося полистирола (ОАО ""Газпром нефтехим Салават""), системы автоматики резервуарного парка нефтеперекачивающей станции (УППО), шарнирно-сочленённого троллейбуса и троллейбуса с низким уровнем пола без ступеней, позволяющего перевозить инвалидов-колясочников (ОАО ""Башкирский троллейбусный завод"") и др."	bashkir encyclopedia
74	ҡсб	298	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	ГАРМС Светлана Александровна (27.2.1935, БАССР-ҙың Ишембай ҡсб, хәҙерге Ишембай ҡ., – 18.9.1956, Мәскәү, Өфөлә ерләнгән), спортсы.	ГАРМС Светлана Александровна (27.2.1935, рп Ишимбай БАССР, ныне г. Ишимбай, — 18.9.1956, Москва, похоронена в Уфе), спортсменка.	bashkir encyclopedia
75	биол	294	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	1884 й. И.б.д.у. Оло Илья урамындағы үҙенең 2 ҡатлы таш бинаһында (хәҙерге БДУ-ның биол. факультеты бинаһы) урынлаша, ул Синод аҡсаһына архитектор К.Н.Кодрунцев проекты буйынса төҙөлгән (3-сө ҡаты 20 б. 30-сы йй. өҫтәп һалына); архитектура ҡомартҡыһы булып тора.	С 1884 Д.м.у. располагалось в собств. кам. 2-этажном здании по ул.Б.Ильинской (ныне здание биол. факультета БГУ; ул.З.Валиди, 32), построенном на средства Синода по проекту арх. К.Н.Кодрунцева (3-й этаж был надстроен в 30-е гг. 20 в.); является памятником архитектуры.	bashkir encyclopedia
76	берәүһе	293	ложное срабатывание / формула	для собирательных числительных нет притяжательной формы -әү+һе	Бында өсәүҙәр икән, икәүһе – Татарстандан, берәүһе – Башҡортостандан, Ҡандранан, тиме.	Оказывается, среди прибывших солдат трое – татары, двое из них из Татарстана, один – из Кандров, из Башкортостана.	https://t.me/bashkort_translate_bot
77	средстволары	290	ошибка или иноязычная вставка корпуса	русский фрагмент внутри башкирской строки; расширять башкирскую морфологию не надо	№ 13, Омск, 16 октябрь. Финанс средстволары етешмәүе сәбәпле, артабан мобилизация үткәреү туҡтатыла.	№ 13, Омск, 16 октября По причине недостатка финансовых средств проведение мобилизации остановлено.	https://t.me/bashkort_translate_bot
78	нда	289	не отдельное слово / токенизация	фрагмент окончания после числа, кавычек, дефиса или разрыва	Ә «Ирҙәр советы»нда хәтәр етди һөйләшеү булған.	А на «совете мужчин» разговор состоялся очень серьезный.	https://t.me/bashkort_translate_bot
79	тороуын	288	ложное срабатывание / формула	отглагольное имя на -оу ошибочно получает N07; нужен N05	Шунан ни фельдшер һуғышта ҡатнашыуын, хәрби госпиталдә көнө-төнө операция өҫтәле артында баҫып тороуын, аяҡ өҫтө йоҡлап китмәҫ өсөн тәмәке тартырға мәжбүр булыуын һөйләп алды.	Фельдшер был вынужден рассказать, как во время войны в военном госпитале сутками приходилось стоять за операционным столом и постоянно курить, чтобы не уснуть на ногах.	https://t.me/bashkort_translate_bot
80	партнерлыҡ	270	ложное срабатывание / формула	не покрыта продуктивная деривация партнер+лыҡ	"""Сомали - күп яҡлы партнерлыҡ уңышының яҡшы өлгөһө"", - тине кесе йома БМО-ның Генераль Ассамблеяһы президенты Мөхәммәд Абдулла Мөхәмәд. Шулай булыуға ҡарамаҫтан, Африкалағы Рог әле булһа халыҡ-ара һәм төбәк ярҙамына һәм хеҙмәттәшлегенә мохтаж, бигерәк тә Аш-Шабабҡа ҡаршы тороу өсөн, тип таныны ул."	"""Сомали - хороший пример успеха многостороннего партнерства"", - сказал президент Мохаммед Абдулла Мохамед генеральной ассамблее ООН в четверг. Тем не менее, он признал, что Африканский Рог все еще нуждается в международной и региональной поддержке и сотрудничестве, особенно для того, чтобы противостоять Аш-Шабаб."	1000 sentences
81	тиһең	266	ложное срабатывание / формула	нерегулярная парадигма ти не описана	Беҙҙе, дүрт ҡатынды, тағы, ана, ҡыҙ баланы һин юҡта кем һаҡланы тиһең?	Кто, по-твоему, охранял нас, четырех женщин да девочку, пока тебя не было?	https://t.me/bashkort_translate_bot
82	нындағы	263	не отдельное слово / токенизация	фрагмент окончания после числа, кавычек, дефиса или разрыва	Запасҡа сыҡҡандан һуң (1945) БАССР ЭЭМ органдарында хеҙмәт итә, БАССР‑ҙың Фёдоровка р‑нындағы “Салауат”, А.С.Пушкин исемендәге к‑здарҙа рәйес, Бала Сытырман а/с рәйесе булып эшләй.	После увольнения в запас (1945) служил в органах МВД БАССР, затем работал пред. колхозов “Салават”, имени А.С. Пушкина, пред. Бала‑Четырманского сельского совета Фёдоровского р‑на БАССР. Награждён орденом	bashkir encyclopedia
83	эҙҙәре	262	ложное срабатывание / формула	эҙ ошибочно N05; нужна мягкая парадигма N06	Ә тәрәнгәрәк төшһәң, тарихтың иң төпкө ҡатламдарында ла табыла башҡорт эҙҙәре.	А если копнуть глубже, следы башкир можно обнаружить и в самых глубоких пластах истории.	https://t.me/bashkort_translate_bot
84	матем	258	ложное срабатывание / формула	нормативная форма в контексте; требуется отдельная проверка правила	1864 й. Уставҡа ярашлы, классик һәм реаль (боронғо телдәрһеҙ, әммә ҙур күләмдә тәбиғәт белеме фәне менән) Г., шул уҡ прогимназиялар ойошторола. 1871 й. классик Г. (8 йыллыҡ уҡытыу курсы менән 7 класлы) берҙән-бер тип була, уның уҡыу программаһына грек, латин, немец һәм француз теле, урыҫ әҙәбиәте, тарих, география, матем., физика, закон ғилеме, филос., сәйәси иҡт., коммерция ф. башланғыс курстары, статистика, “нәфис фәндәр”, рәсем, “евангелистарҙан уҡыу”, Хоҙай Ҡануны, изге һәм сиркәү тарихтары (1828 йылдан алып) һ.б. индерелә; 1819 й. тиклем сәйәси иҡт., коммерция ф., “нәфис фәндәр” уҡытыла.	"Уставом от 1864 были учреждены Г. классич. и реальные (без древних яз., но с естествознанием в большем объёме), а также прогимназии. С 1871 единственным типом Г. стала классич. (7 кл. с 8-летним курсом обучения), в учебную программу которой входили греч., лат., нем. и франц. языки, рус. словесность, история, география, математика, физика, законоведение, нач. курсы философии, полит. экономии, коммерч. наук, статистика, “изящные науки"", рисование, “чтения из евангелистов"", Закон Божий, священная и церк. истории (с 1828) и др.; до 1819 преподавались полит. экономия, коммерч. науки, “изящные науки""."	bashkir encyclopedia
85	мәғлүмәти	258	ложное срабатывание / покрытие словаря	нормативный современный термин, но основы нет в словаре	АСК-ның өсөнсө быуыны – ауыл хужалығы продукцияһын әҙерләү, ташыу һәм һаҡлау, агрохимия һәм ветеринария хеҙмәте күрһәтеү, фәнни һәм мәғлүмәти тәьмин итеү, тармаҡ өсөн белгестәр әҙерләү.	Третье звено АПК – заготовка, транспортировка и хранение сельскохозяйственной продукции, агрохимическое и ветеринарное обслуживание, научное и информационное обеспечение, подготовка кадров для АПК.	https://t.me/bashkort_translate_bot
86	шағирҙар	258	ложное срабатывание / формула	та же неверная классификация шағир: N06 вместо N05	Бында уның хөкүмәтенә ҡаршы баш күтәргән поляк офицерҙары һөрөлгән, бунтарь рухлы шағирҙар, рәссамдар, композиторҙар ебәрелгән.	Сюда ссылали мятежных поляков, неблагонадежных, склонных к бунтарству поэтов, художников, музыкантов.	https://t.me/bashkort_translate_bot
87	терр	257	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	Хәҙерге И.т. терр. диалекттары күп: Бөйөк Британияла — шотланд диалекты, төньяҡ, үҙәк, көньяҡ һәм көньяҡ-көнбайыш диалект төркөмдәре; АҠШ-та — көнсығыш-инглиз, урта атлантик (үҙәк), көньяҡ-көнсығыш, урта көнбайыш төркөмдәре.	Совр. А.я. имеет большое количество терр. диалектов: в Великобритании – шотл., группа сев., центр., юж. и юго-зап. диалектов; в США – вост.-англ., ср.-атлантич. (центр.), юго-вост., ср.-зап. группы.	bashkir encyclopedia
88	диам	253	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	Ер өҫтөндә төҙөлгән тура мөйөшлө 2 торлаҡ (21х24 м), иретеү мейестәренең нигеҙҙәре һаҡланған балсыҡ ҡатыш майҙансыҡтар (диам. 1 м), хужалыҡ соҡорҙары табылған.	Выявлены 2 наземных жилища (21x24 м) прямоугольной формы, глинобитные площадки (диам. 1 м) с основаниями плавильных печей, хоз. ямы.	bashkir encyclopedia
89	фаразлай	249	ложное срабатывание / формула	не покрыта продуктивная цепочка фараз+ла+й	Уны һәр кем үҙенсә көтә, фаразлай, әҙерләнә – үҙ аҡылы, иманы, холҡо кимәлендә.	Каждый ждет и представляет его по-своему, готовится к нему – согласно своему разуму, вере и воспитанию.	https://t.me/bashkort_translate_bot
90	иткес	244	ложное срабатывание / формула	нормативное аналитическое хәл иткес; форма от ит не покрыта	Ошо хәл иткес мәлдә Әшрәф ҡайтанан төтөнһөҙ-ниһеҙ шартлап янып ултырған өй эсенә ташланды.	В эту решающую минуту Ашраф вновь бросился внутрь дома, полностью охваченного пламенем.	https://t.me/bashkort_translate_bot
91	боҙолоуы	234	ложное срабатывание / формула	отглагольное имя на -оу ошибочно получает N07; нужен N05	Был ярашлылыҡтың боҙолоуы общинасылар араһында бәхәс тыуҙырған.	Нарушение данного соответствия приводило к спорам между общинниками.	https://t.me/bashkort_translate_bot
92	тиһеңме	233	ложное срабатывание / формула	нерегулярная форма тиһең плюс вопросительная частица не описана	Әллә Сыңғыҙҙы кемгәлер күҙ һалғаны өсөн туҡмағандар тиһеңме, эскеселектәренә, аҙғынлыҡтарына ҡаршы төшөргә ниәтләнгән ул – шул сәбәбе.	Думаешь, Чингиза избили за то, что он глаз на кого-то положил? Он попытался пресечь их пьянство, распутство – вот в чем дело.	https://t.me/bashkort_translate_bot
93	каф	232	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	1987 й. алып Башҡортостан мәғарифты үҫтереү институтында башҡорт теле һәм әҙәбиәте каф., 2004—10 йй. донъя һәм милли мәҙәниәттәр кафедра мөдире.	С 1987 заведующий кафедрой баш. яз. и литературы, в 2004–10 – мировой и национальной культуры БИРО.	bashkir encyclopedia
94	мәҫ	231	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	Әгәр 3 тышҡы тәьҫирҙәр хәүеф килтерһә (мәҫ., һыу һаҡлағысы төҙөгәндә һыу баҫыу), унда тәбиғәтте һаҡлап, уға ярҙам итеү эштәре генә алып барыу рөхсәт ителә, әлбиттә, экономик табыш алыу маҡсат итеп ҡуйылмай.	В 3. разрешаются лишь мероприятия по поддержанию его природы, если ей угрожают внешние воздействия (напр., подтопление при строительстве водохранилища), как правило, без извлечения от этих мероприятий экономической выгоды.	https://t.me/bashkort_translate_bot
95	ндә	226	не отдельное слово / токенизация	фрагмент окончания после числа, кавычек, дефиса или разрыва	«Бөрйән, ҡыпсаҡ, үҫәргән, тамъян башҡорттарының шәжәрәһе»ндә ошо хаҡта: «Жирларемез һәм динларемез илә айрә языб, ислам динендә булған башҡырт жәмағәтләрен аслан ғәйре дингә көсламәскә ғәһед вә йәмин идеб (ант итеп), һәм безлар руғ-әнсабларемез ихласлы хезмәтләр ҡылмаҡ өчен, указнамәләр төзеб, араларымызда мәүжүд булған шартларымызға бер-беремездан алынмыш бадбичнамәларыбыз Ҡазан шәһәрендә дәфтәргә язылмышдыр», – тип әйтелгән.	В «Шежере бурзянских, кипчакских, усерганских, тамъянских башкир» сказано: «Составили указную грамоту, в которой особо написали о наших землях и религии, дали слово и поклялись башкир, исповедующих ислам, никогда не насиловать в другую религию, и чтобы мы, роды, стали нести искреннюю службу; согласившись на эти оговоренные между нами условия, взяв друг у друга подписи, нашу грамоту в городе Казани записали в книгу».	https://t.me/bashkort_translate_bot
96	тергеҙелә	221	ложное срабатывание / формула	нет продуктивной пассивной цепочки тергеҙ+ел+ә / производной основы	Гарнизон хеҙмәте гарнизон уставына яраҡлы алып барыла, журналға бөтә яңылыҡтар тергеҙелә.	В приказе далее сообщалось, что гарнизонная служба ведется согласно уставу гарнизона, все новости регистрируются в журнале.	https://t.me/bashkort_translate_bot
97	паркын	219	ложное срабатывание / формула	та же ошибка сохранения к в -рк	Ә хәҙер бер түгел, өс баш ҡаланы, өс король һарайын, өс король паркын күрәсәк!	А теперь увидит целых три столицы, три королевских дворца и три королевских парка!	https://t.me/bashkort_translate_bot
98	орд	217	сокращение / разметка	типичное энциклопедическое сокращение; нужно обрабатывать токенизатором или белым списком	1-се (2006) һәм 2-се (1998) дәрәжә “Ватан алдында күрһәткән хеҙмәттәре өсөн” орд. миҙалдары, Халыҡтар дуҫлығы (2004), Салауат Юлаев (2016) орд. менән бүләкләнгән.	Награждён медалями ордена “За заслуги перед Отечеством” 1-й (2006) и 2-й (1998) ст., орд. Дружбы народов (2004), Салавата Юлаева (2016).	bashkir encyclopedia
99	йөрөүе	216	ложное срабатывание / формула	отглагольное имя на -өү ошибочно получает N08; нужен N06	Ысыны ул Миләүшәне ярата, ике арала башы буталып йөрөүе.	На самом деле он любит Миляушу, только никак не может разобраться.	https://t.me/bashkort_translate_bot
100	табиптары	214	ложное срабатывание / формула	та же неверная классификация табип: N14 вместо N13	Санэпидемстанция табиптары, нотариус, журналистар, мәктәп һәм юғары уҡыу йорто уҡытыусылары, район судьяһы, эреле-ваҡлы түрә-ҡара – кемдәр генә ярҙам һорап килмәне.	Судьи, нотариусы, врачи, журналисты, преподаватели вузов и учителя, чиновники и начальники – кто только не стучался в дверь их квартиры!	https://t.me/bashkort_translate_bot
